DROP TABLE
SELECT 251
DROP TABLE
SELECT 202
 type  | year | month | agg_count | disagg_count |  diff   | pct_diff 
 OTHER | 2017 |     4 |   2848793 |       181880 | 2666913 |    93.62
 OTHER | 2017 |     5 |   2921955 |       397141 | 2524814 |    86.41
 OTHER | 2017 |     6 |   2696358 |       366887 | 2329471 |    86.39
 OTHER | 2017 |     7 |   2554258 |       366371 | 2187887 |    85.66
 OTHER | 2017 |     8 |   2528908 |       365628 | 2163280 |    85.54
 OTHER | 2017 |     9 |   2519024 |       370612 | 2148412 |    85.29
 OTHER | 2017 |    10 |   2591090 |       373378 | 2217712 |    85.59
 OTHER | 2017 |    11 |   2493045 |       360664 | 2132381 |    85.53
 OTHER | 2017 |    12 |   2774053 |       421277 | 2352776 |    84.81
 OTHER | 2018 |     1 |   2558967 |       409128 | 2149839 |    84.01
 OTHER | 2018 |     2 |   2405935 |       387136 | 2018799 |    83.91
 OTHER | 2018 |     3 |   2584095 |       393907 | 2190188 |    84.76
 OTHER | 2018 |     4 |   2465064 |       407839 | 2057225 |    83.46
 OTHER | 2018 |     5 |   2309509 |       362069 | 1947440 |    84.32
 OTHER | 2018 |     6 |   2341966 |       395679 | 1946287 |    83.10
 OTHER | 2018 |     7 |   2011779 |       328321 | 1683458 |    83.68
 OTHER | 2018 |     8 |   2190958 |       381615 | 1809343 |    82.58
 OTHER | 2018 |     9 |   2145111 |       358073 | 1787038 |    83.31
 OTHER | 2018 |    10 |   2173018 |       372723 | 1800295 |    82.85
 OTHER | 2018 |    11 |   2125115 |       379829 | 1745286 |    82.13
 OTHER | 2018 |    12 |   2125734 |       350814 | 1774920 |    83.50
 UBER  | 2015 |     1 |   1871075 |      1873186 |   -2111 |    -0.11
 UBER  | 2015 |     2 |   2178305 |      2182040 |   -3735 |    -0.17
 UBER  | 2015 |     3 |   2259575 |      2259773 |    -198 |    -0.01
 UBER  | 2015 |     4 |   2280332 |      2280837 |    -505 |    -0.02
 UBER  | 2015 |     5 |   1854691 |      2695553 | -840862 |   -45.34
 UBER  | 2015 |     6 |   2816572 |      2816895 |    -323 |    -0.01
 UBER  | 2015 |     7 |   3107558 |      3107559 |      -1 |     0.00
 UBER  | 2015 |     8 |   3316381 |      3316575 |    -194 |    -0.01
 UBER  | 2015 |     9 |   3709270 |      3708967 |     303 |     0.01
 UBER  | 2015 |    10 |   4359759 |      4359770 |     -11 |     0.00
 UBER  | 2015 |    11 |   4178591 |      4178599 |      -8 |     0.00
 UBER  | 2015 |    12 |   4343828 |      4343831 |      -3 |     0.00
 UBER  | 2016 |     1 |   4301254 |      4301256 |      -2 |     0.00
 UBER  | 2016 |     2 |   4827339 |      4827340 |      -1 |     0.00
 UBER  | 2016 |     3 |   4949743 |      4949744 |      -1 |     0.00
 UBER  | 2016 |     4 |   5103751 |      5103754 |      -3 |     0.00
 UBER  | 2016 |     5 |   5391879 |      5391882 |      -3 |     0.00
 UBER  | 2016 |     6 |   5358138 |      5358145 |      -7 |     0.00
 UBER  | 2016 |     7 |   5899045 |      5899048 |      -3 |     0.00
 UBER  | 2016 |     8 |   5893649 |      5893652 |      -3 |     0.00
 UBER  | 2016 |     9 |   6481751 |      6481759 |      -8 |     0.00
 UBER  | 2016 |    10 |   7007436 |      7007446 |     -10 |     0.00
 UBER  | 2016 |    11 |   6973356 |      6973381 |     -25 |     0.00
 UBER  | 2016 |    12 |   7880513 |      7880535 |     -22 |     0.00
 UBER  | 2017 |     1 |   7736951 |      7736951 |       0 |     0.00
 UBER  | 2017 |     2 |   7244518 |      7244950 |    -432 |    -0.01
 UBER  | 2017 |     3 |   8641724 |      8641848 |    -124 |     0.00
 UBER  | 2017 |     4 |   8181383 |      8181383 |       0 |     0.00
 UBER  | 2017 |     5 |   8794695 |      8794695 |       0 |     0.00
 UBER  | 2017 |     6 |   8898156 |      8898156 |       0 |     0.00
 UBER  | 2017 |     7 |   8962215 |      8962215 |       0 |     0.00
 UBER  | 2017 |     8 |   8992847 |      8992847 |       0 |     0.00
 UBER  | 2017 |     9 |   9525248 |      9525248 |       0 |     0.00
 UBER  | 2017 |    10 |  10135304 |     10135304 |       0 |     0.00
 UBER  | 2017 |    11 |  10693287 |     10693287 |       0 |     0.00
 UBER  | 2017 |    12 |  11836385 |     11836385 |       0 |     0.00
 UBER  | 2018 |     1 |  11671765 |     11671765 |       0 |     0.00
 UBER  | 2018 |     2 |  11506356 |     11506356 |       0 |     0.00
 UBER  | 2018 |     3 |  13462091 |     13462091 |       0 |     0.00
 UBER  | 2018 |     4 |  13222485 |     13222485 |       0 |     0.00
 UBER  | 2018 |     5 |  13579992 |     13579992 |       0 |     0.00
 UBER  | 2018 |     6 |  13267600 |     13267600 |       0 |     0.00
 UBER  | 2018 |     7 |  14063243 |     14063243 |       0 |     0.00
 UBER  | 2018 |     8 |  14060879 |     14060879 |       0 |     0.00
 UBER  | 2018 |     9 |  14049967 |     14049967 |       0 |     0.00
 UBER  | 2018 |    10 |  14663999 |     14663999 |       0 |     0.00
 UBER  | 2018 |    11 |  14554993 |     14554993 |       0 |     0.00
 UBER  | 2018 |    12 |  14999895 |     14999895 |       0 |     0.00
 VIA   | 2015 |     4 |    113866 |       117339 |   -3473 |    -3.05
 VIA   | 2015 |     5 |    121127 |       125441 |   -4314 |    -3.56
 VIA   | 2015 |     6 |    155658 |       160770 |   -5112 |    -3.28
 VIA   | 2015 |     7 |    175349 |       180327 |   -4978 |    -2.84
 VIA   | 2015 |     8 |    201490 |       206716 |   -5226 |    -2.59
 VIA   | 2015 |     9 |    218364 |       225622 |   -7258 |    -3.32
 VIA   | 2015 |    10 |    261311 |       271159 |   -9848 |    -3.77
 VIA   | 2015 |    11 |    255655 |       265324 |   -9669 |    -3.78
 VIA   | 2015 |    12 |    264889 |       274179 |   -9290 |    -3.51
 VIA   | 2016 |     1 |    305570 |       317836 |  -12266 |    -4.01
 VIA   | 2016 |     2 |    361156 |       374414 |  -13258 |    -3.67
 VIA   | 2016 |     3 |    429572 |       443213 |  -13641 |    -3.18
 VIA   | 2016 |     4 |    446919 |       461599 |  -14680 |    -3.28
 VIA   | 2016 |     5 |    464775 |       480633 |  -15858 |    -3.41
 VIA   | 2016 |     6 |    503517 |       517964 |  -14447 |    -2.87
 VIA   | 2016 |     7 |    516639 |       530664 |  -14025 |    -2.71
 VIA   | 2016 |     8 |    558442 |       572674 |  -14232 |    -2.55
 VIA   | 2016 |     9 |    590351 |       609590 |  -19239 |    -3.26
 VIA   | 2016 |    10 |    655551 |       672668 |  -17117 |    -2.61
 VIA   | 2016 |    11 |    599127 |       617927 |  -18800 |    -3.14
 VIA   | 2016 |    12 |    653514 |       670633 |  -17119 |    -2.62
 VIA   | 2017 |     1 |    719232 |       719232 |       0 |     0.00
 VIA   | 2017 |     2 |    649054 |       649054 |       0 |     0.00
 VIA   | 2017 |     3 |    728254 |       728254 |       0 |     0.00
 VIA   | 2017 |     4 |    750114 |       750114 |       0 |     0.00
 VIA   | 2017 |     5 |    854056 |       854056 |       0 |     0.00
 VIA   | 2017 |     6 |    786935 |       786935 |       0 |     0.00
 VIA   | 2017 |     7 |    904477 |       904477 |       0 |     0.00
 VIA   | 2017 |     8 |    984296 |       984296 |       0 |     0.00
 VIA   | 2017 |     9 |    926998 |       926998 |       0 |     0.00
 VIA   | 2017 |    10 |   1051504 |      1051504 |       0 |     0.00
 VIA   | 2017 |    11 |    968057 |       968057 |       0 |     0.00
