 year |   pickup_datetime   
 2008 | 2008-12-31 19:36:51
 2008 | 2008-12-31 19:57:39
 2008 | 2008-12-31 20:17:07
 2008 | 2008-12-31 20:20:23
 2008 | 2008-12-31 20:22:15
 2008 | 2008-12-31 20:31:59
 2008 | 2008-12-31 20:41:11
 2008 | 2008-12-31 20:43:17
 2008 | 2008-12-31 20:51:53
 2008 | 2008-12-31 20:54:27
 2008 | 2008-12-31 21:01:15
 2008 | 2008-12-31 21:04:17
 2008 | 2008-12-31 21:08:17
 2008 | 2008-12-31 21:35:46
 2008 | 2008-12-31 21:42:48
 2008 | 2008-12-31 21:45:45
 2008 | 2008-12-31 21:46:17
 2008 | 2008-12-31 21:51:49
 2008 | 2008-12-31 21:53:21
 2008 | 2008-12-31 21:58:37
 2008 | 2008-12-31 22:05:59
 2008 | 2008-12-31 22:08:25
 2008 | 2008-12-31 22:10:09
 2008 | 2008-12-31 22:13:11
 2008 | 2008-12-31 22:13:51
 2008 | 2008-12-31 22:17:14
 2008 | 2008-12-31 22:17:28
 2008 | 2008-12-31 22:19:02
 2008 | 2008-12-31 22:20:00
 2008 | 2008-12-31 22:21:07
 2008 | 2008-12-31 22:22:21
 2008 | 2008-12-31 22:23:04
 2008 | 2008-12-31 22:24:56
 2008 | 2008-12-31 22:25:40
 2008 | 2008-12-31 22:26:29
 2008 | 2008-12-31 22:29:17
 2008 | 2008-12-31 22:31:53
 2008 | 2008-12-31 22:34:14
 2008 | 2008-12-31 22:34:56
 2008 | 2008-12-31 22:35:55
 2008 | 2008-12-31 22:36:28
 2008 | 2008-12-31 22:38:12
 2008 | 2008-12-31 22:40:55
 2008 | 2008-12-31 22:44:09
 2008 | 2008-12-31 22:44:10
 2008 | 2008-12-31 22:45:47
 2008 | 2008-12-31 22:46:22
 2008 | 2008-12-31 22:47:50
 2008 | 2008-12-31 22:49:13
 2008 | 2008-12-31 22:49:52
 2008 | 2008-12-31 22:50:41
 2008 | 2008-12-31 22:52:36
 2008 | 2008-12-31 22:53:56
 2008 | 2008-12-31 22:54:25
 2008 | 2008-12-31 22:54:25
 2008 | 2008-12-31 22:54:25
 2008 | 2008-12-31 22:55:03
 2008 | 2008-12-31 22:55:10
 2008 | 2008-12-31 22:56:43
 2008 | 2008-12-31 22:56:50
 2008 | 2008-12-31 22:56:50
 2008 | 2008-12-31 22:58:13
 2008 | 2008-12-31 22:58:19
 2008 | 2008-12-31 22:59:06
 2008 | 2008-12-31 22:59:39
 2008 | 2008-12-31 23:00:17
 2008 | 2008-12-31 23:01:26
 2008 | 2008-12-31 23:02:11
 2008 | 2008-12-31 23:02:21
 2008 | 2008-12-31 23:02:25
 2008 | 2008-12-31 23:02:27
 2008 | 2008-12-31 23:02:29
 2008 | 2008-12-31 23:02:30
 2008 | 2008-12-31 23:02:37
 2008 | 2008-12-31 23:02:42
 2008 | 2008-12-31 23:02:43
 2008 | 2008-12-31 23:02:43
 2008 | 2008-12-31 23:02:44
 2008 | 2008-12-31 23:02:45
 2008 | 2008-12-31 23:02:47
 2008 | 2008-12-31 23:02:52
 2008 | 2008-12-31 23:02:54
 2008 | 2008-12-31 23:02:58
 2008 | 2008-12-31 23:02:58
 2008 | 2008-12-31 23:02:59
 2008 | 2008-12-31 23:03:00
 2008 | 2008-12-31 23:03:00
 2008 | 2008-12-31 23:03:01
 2008 | 2008-12-31 23:03:03
 2008 | 2008-12-31 23:03:03
 2008 | 2008-12-31 23:03:04
 2008 | 2008-12-31 23:03:07
 2008 | 2008-12-31 23:03:08
 2008 | 2008-12-31 23:03:11
 2008 | 2008-12-31 23:03:15
 2008 | 2008-12-31 23:03:16
 2008 | 2008-12-31 23:03:17
 2008 | 2008-12-31 23:03:20
 2008 | 2008-12-31 23:03:21
 2008 | 2008-12-31 23:03:21
 2008 | 2008-12-31 23:03:22
 2008 | 2008-12-31 23:03:26
 2008 | 2008-12-31 23:03:26
 2008 | 2008-12-31 23:03:26
 2008 | 2008-12-31 23:03:29
 2008 | 2008-12-31 23:03:32
 2008 | 2008-12-31 23:03:33
 2008 | 2008-12-31 23:03:33
 2008 | 2008-12-31 23:03:34
 2008 | 2008-12-31 23:03:35
 2008 | 2008-12-31 23:03:41
 2008 | 2008-12-31 23:03:43
 2008 | 2008-12-31 23:03:45
 2008 | 2008-12-31 23:03:48
 2008 | 2008-12-31 23:03:48
 2008 | 2008-12-31 23:03:51
 2008 | 2008-12-31 23:03:53
 2008 | 2008-12-31 23:03:53
 2008 | 2008-12-31 23:03:54
 2008 | 2008-12-31 23:03:55
 2008 | 2008-12-31 23:03:55
 2008 | 2008-12-31 23:03:58
 2008 | 2008-12-31 23:04:00
 2008 | 2008-12-31 23:04:02
 2008 | 2008-12-31 23:04:03
 2008 | 2008-12-31 23:04:04
 2008 | 2008-12-31 23:04:05
 2008 | 2008-12-31 23:04:23
 2008 | 2008-12-31 23:04:24
 2008 | 2008-12-31 23:04:25
 2008 | 2008-12-31 23:04:27
 2008 | 2008-12-31 23:04:33
 2008 | 2008-12-31 23:04:39
 2008 | 2008-12-31 23:04:45
 2008 | 2008-12-31 23:04:46
 2008 | 2008-12-31 23:04:47
